DMU;ID ;year;Bank;Bank code;Listed;Type;Islamic;ES;ES2;Cost2Inc;DepSTFund;Equity;Eq2Assets;FixAssets;GLoans;NPL2GL;LoanLP;Loans;NetFeeCom;NetIntRev;Branches;Employees;OthOpExp;OthOpInc;Overhead;PerExp;ROAA;ROAE;Assets;LnAssets;BusinessVol;EarnAssets;Funding;IntExp;NonIntExp;NonIntOpInc;OthEarnAssets;ExRate;Unit;GDPG;GDPC ;LnGDPC;GDPGC;PCDGDP;ICP;IGDPD;ETU;PAU;TRU;EXU;CSU;LDU;PCU;FSU;SQU;SCU;ETW;PAW;TRW;EXW;CSW;LDW;PCW;FSW;SQW;SCW;DomPrivOwnAssets;ForOwnAssets;GovOwnAssets;DomPrivOwnLoans;ForOwnLoans;GovOwnLoans;DomPrivOwnDeposits;ForOwnDeposits;GovOwnDeposits;BankCon;BankZsc;avelf;lat_abst;Legor;legor_uk;legor_fr;EFI;PP;CI;EconFree;PR;FC;FisF;GS;BF;LF;MF;TF;IF;FinF;LoanLossRatio;IndepYear;Indep;Religion;W-House;W-Senate
Alubaf International Bank/2005;38;2005;Alubaf International Bank;245;0;CB;0;0,579;0,056;0,344;95,805;37,304;0,275;1,31;3,7;;;3,7;3,545;2,004;;;0,231;2,929;1,696;1,464;0,03;0,095;135,73;4,911;452,2;133,648;95,805;1,156;1,696;2,929;129,949;1,3;1;0,04;3218,96;8,077;0,03;0,562;0,02;0,037;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,31;0,26;0,43;0,3;0,25;0,45;0,31;0,29;0,4;0,43;22,714;0,07;0,38;French;0;1;6,02;3;;55,4;50;49;70,9;76,8;70;62,7;84,7;30,2;30;30;;1956;#REF!;1;0,23;0,13
Alubaf International Bank/2006;38;2006;Alubaf International Bank;245;0;CB;0;0,587;0,038;0,291;94,889;39,594;0,289;1,202;2,78;;0,225;2,78;3,531;3,606;;;0,15;2,855;1,878;1,728;0,032;0,115;136,812;4,919;356,5;135,009;94,889;1,803;1,878;2,855;132,229;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,43;23,963;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,081;1956;#REF!;1;0,23;0,13
Alubaf International Bank/2007;38;2007;Alubaf International Bank;245;0;CB;0;0,58;0,064;0,245;115,424;44,64;0,266;1,327;8,819;;0,078;5,073;3,668;4,526;;;0,234;3,122;1,873;1,639;0,037;0,133;167,635;5,122;214,8;165,293;115,424;1,405;1,873;3,122;160,221;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,43;22,571;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,009;1956;#REF!;1;0,23;0,15
Alubaf International Bank/2008;38;2008;Alubaf International Bank;245;0;CB;0;0,605;0,049;0,402;146,655;51,861;0,258;1,542;11,281;;0,081;7,223;4,951;3,49;;;1,136;5,6;3,652;2,516;0,029;0,109;200,707;5,302;426,9;198,76;146,655;2,272;3,652;5,6;191,536;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,43;21,371;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;0,007;1956;#REF!;1;0,23;0,15
Alubaf International Bank/2009;38;2009;Alubaf International Bank;245;0;CB;0;0,47;0,042;0,739;144,785;47,176;0,243;1,555;3,11;;;3,11;3,555;1,111;;;1,407;3,999;3,777;2,37;0,007;0,028;193,96;5,268;548,1;191,739;144,785;0,518;3,777;3,999;188,628;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,43;18,638;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;;1956;#REF!;1;0,28;0,15
Alubaf International Bank/2010;38;2010;Alubaf International Bank;245;0;CB;0;0,499;0,081;0,697;233,128;45,899;0,163;1,327;5,589;;;5,589;3,144;1,048;;;0,908;3,563;3,214;2,305;0,006;0,031;280,914;5,638;542,7;275,325;233,128;0,279;3,214;3,563;269,736;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,43;12,617;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;;1956;#REF!;1;0,28;0,15
Amen Bank/2005;38;2005;Amen Bank;246;1;CB;0;0,618;0,618;0,461;1316,06;170,876;0,104;54,03;1442,849;;24,818;1258,947;14,259;41,698;;;10,713;20,964;28,903;18,19;0,011;0,106;1644,092;7,405;2815,4;1535,185;1466,28;57,884;28,903;20,964;276,238;1,3;1;0,04;3218,96;8,077;0,03;0,562;0,02;0,037;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,31;0,26;0,43;0,3;0,25;0,45;0,31;0,29;0,4;0,43;39,137;0,07;0,38;French;0;1;6,02;3;;55,4;50;49;70,9;76,8;70;62,7;84,7;30,2;30;30;0,017;1956;#REF!;1;0,23;0,13
Amen Bank/2006;38;2006;Amen Bank;246;1;CB;0;0,594;0,593;0,5;1468,267;175,053;0,097;55,521;1330,929;;26,671;1330,929;15,627;40,645;;;9,917;22,464;31,555;21,637;0,009;0,089;1809,583;7,501;2820,4;1629,421;1626,341;67,317;31,555;22,464;298,492;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,43;36;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,02;1956;#REF!;1;0,23;0,13
Amen Bank/2007;38;2007;Amen Bank;246;1;CB;0;0,618;0,618;0,478;1707,485;219,845;0,102;70,472;1549,215;;27,783;1549,215;18,574;50,805;;951;11,082;26,066;36,758;25,676;0,012;0,12;2164,344;7,68;4416,3;1909,146;1925,925;80,852;36,758;26,066;359,931;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,421;38,69;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,018;1956;#REF!;1;0,23;0,15
Amen Bank/2008;38;2008;Amen Bank;246;1;CB;0;0,673;0,672;0,335;2043,84;258,818;0,098;80,267;1903,028;;32,383;1903,028;23,617;56,73;;963;12,012;55,838;37,739;25,728;0,016;0,157;2643,852;7,88;4019,4;2344,13;2292,35;99,989;37,739;50,4;441,102;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,421;38,69;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;0,017;1956;#REF!;1;0,23;0,15
Amen Bank/2009;38;2009;Amen Bank;246;1;CB;0;0,719;0,719;0,366;2382,107;260,614;0,087;75,244;2176,89;;36,141;2176,89;25,402;53,989;;967;12,22;56,803;40,51;28,291;0,01;0,113;2999,389;8,006;5036,7;2713,225;2659,088;94,573;40,51;51,323;536,335;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,421;33,171;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;0,017;1956;#REF!;1;0,28;0,15
Amen Bank/2010;38;2010;Amen Bank;246;1;CB;0;0,812;0,812;0,332;2643,426;291,882;0,087;70,91;2594,872;;24,941;2594,872;28,853;62,177;;979;11,946;60,151;40,59;28,643;0,016;0,186;3360,836;8,12;5825;3113,735;2984,91;108,844;40,59;53,165;518,863;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,421;35,1;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;0,01;1956;#REF!;1;0,28;0,15
Arab Banking Corporation - Tunisie/2005;38;2005;Arab Banking Corporation - Tunisie;247;0;CB;0;0,31;0,276;1,6;103,975;11,407;0,092;0,617;85,631;;13,334;64,666;0,54;2,466;3;108;2,621;0,617;4,933;2,312;-0,12;-1,443;124,091;4,821;234,4;119,39;105,978;3,237;4,933;0,617;54,723;1,3;1;0,04;3218,96;8,077;0,03;0,562;0,02;0,037;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,31;0,26;0,43;0,3;0,25;0,45;0,31;0,29;0,4;0,421;-0,558;0,07;0,38;French;0;1;6,02;3;;55,4;50;49;70,9;76,8;70;62,7;84,7;30,2;30;30;0,156;1956;#REF!;1;0,23;0,13
Arab Banking Corporation - Tunisie/2006;38;2006;Arab Banking Corporation - Tunisie;247;0;CB;0;0,301;0,138;0,864;123,514;11,72;0,079;0,977;62,208;;0,075;40,044;1,728;2,554;3;109;1,503;1,878;3,832;2,329;0,004;0,046;149,058;5,004;250,6;144,325;124,716;4,658;3,832;1,878;104,281;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,421;1,654;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,001;1956;#REF!;1;0,23;0,13
Arab Banking Corporation - Tunisie/2007;38;2007;Arab Banking Corporation - Tunisie;247;0;CB;0;0,277;0,159;0,879;139,774;12,409;0,072;0,78;67,35;;0,39;44,328;1,249;3,59;3;105;1,639;1,561;4,526;2,888;0,001;0,019;173,254;5,155;274,2;164,591;140,398;5,073;4,526;1,561;120,263;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,421;1,464;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,006;1956;#REF!;1;0,23;0,15
Arab Banking Corporation - Tunisie/2008;38;2008;Arab Banking Corporation - Tunisie;247;0;CB;0;0,168;0,117;1,143;160,939;13,959;0,071;1,786;57,38;;-1,055;37,658;1,299;2,841;3;98;2,516;1,704;5,194;2,678;0,006;0,079;195,513;5,276;252,9;182,203;161,183;4,139;5,194;1,704;144,545;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,421;1,544;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;-0,018;1956;#REF!;1;0,23;0,15
Arab Banking Corporation - Tunisie/2009;38;2009;Arab Banking Corporation - Tunisie;247;0;CB;0;0,153;0,091;1,409;140,046;18,885;0,113;1,481;26,809;0,619;-0,074;18,589;1,111;1,777;4;97;2,296;1,481;4,592;2,296;-0,007;-0,075;166,633;5,116;233,3;153,895;140,046;1,555;4,592;1,481;135,306;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,421;2,134;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;-0,003;1956;#REF!;1;0,28;0,15
Arab Banking Corporation - Tunisie/2010;38;2010;Arab Banking Corporation - Tunisie;247;0;CB;0;0,264;0,099;1,032;145,731;18,723;0,112;1,048;25,29;0,514;-0,978;18,024;1,537;2,236;4;104;2,236;2,166;4,541;2,305;0,006;0,05;166,969;5,118;277,5;158,935;145,731;1,118;4,541;2,166;140,911;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,421;2,359;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;-0,039;1956;#REF!;1;0,28;0,15
Attijari Bank/2005;38;2005;Attijari Bank;248;1;CB;0;0,757;0,71;0,616;1497,418;104,591;0,059;25,281;1374,945;;20,579;1374,945;19,192;34,298;;;13,951;34,607;42,468;28,518;0,001;0,015;1787,221;7,488;3087,7;1654,806;1611,721;54,646;42,468;34,607;279,86;1,3;1;0,04;3218,96;8,077;0,03;0,562;0,02;0,037;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,31;0,26;0,43;0,3;0,25;0,45;0,31;0,29;0,4;0,421;2,491;0,07;0,38;French;0;1;6,02;3;;55,4;50;49;70,9;76,8;70;62,7;84,7;30,2;30;30;0,015;1956;#REF!;1;0,23;0,13
Attijari Bank/2006;38;2006;Attijari Bank;248;1;CB;0;0,653;0,576;0,66;1379,538;114,573;0,069;23,816;1134,614;;142,522;1134,614;20,661;34,41;92;1354;13,523;33,057;44,552;31,029;-0,049;-0,771;1672,771;7,422;2821,6;1427,171;1478,109;55,221;44,552;33,057;292,556;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,421;0,821;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,126;1956;#REF!;1;0,23;0,13
Attijari Bank/2007;38;2007;Attijari Bank;248;1;CB;0;0,651;0,596;0,611;1603,064;110,118;0,058;32,388;1322,815;;38,631;1322,815;25,754;37,148;99;1384;18,964;46,747;51,274;32,309;-0,004;-0,063;1884,407;7,541;2973,1;1658,943;1694,998;59,468;51,274;46,747;336,128;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,421;2,277;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,029;1956;#REF!;1;0,23;0,15
Attijari Bank/2008;38;2008;Attijari Bank;248;1;CB;0;0,517;0,513;0,638;1941,822;147,386;0,063;124,012;1985,08;0,254;15,826;1547,955;29,461;50,806;;;43,583;79,212;82,945;39,362;0,013;0,22;2338,692;7,757;3532,8;1935,654;2093,185;73,206;82,945;79,212;387,699;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,421;3,199;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;0,008;1956;#REF!;1;0,23;0,15
Attijari Bank/2009;38;2009;Attijari Bank;248;1;CB;0;0,537;0,528;0,604;2186,666;210,92;0,08;135,158;2019,144;0,215;21,329;1629,076;33,549;49,323;;;34,511;75,318;75,318;40,807;0,01;0,141;2626,65;7,873;4266,3;2101,646;2278,499;65,098;75,318;75,318;472,57;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;3,791;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;0,011;1956;#REF!;1;0,28;0,15
Attijari Bank/2010;38;2010;Attijari Bank;248;1;CB;0;0,61;0,604;0,531;2421,196;245,983;0,087;98,016;2276,513;0,169;7,056;1918,681;33,045;64,343;;;27,945;67,696;70,141;42,196;0,014;0,166;2826,533;7,947;4822,7;2417,074;2483,373;69,582;70,141;67,696;498,393;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;4,226;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;0,003;1956;#REF!;1;0,28;0,15
Banque de l'Habitat/2005;38;2005;Banque de l'Habitat;249;1;CB;0;0,925;0,925;0,543;1553,606;167,33;0,065;35,532;2014,67;;32,988;2014,67;16,571;65,591;;;32,295;57,652;66,978;34,684;0,007;0,099;2576,78;7,854;4865,5;2360,738;2033,862;70,37;66,978;57,652;346,068;1,3;1;0,04;3218,96;8,077;0,03;0,562;0,02;0,037;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,31;0,26;0,43;0,3;0,25;0,45;0,31;0,29;0,4;0,431;22,343;0,07;0,38;French;0;1;6,02;3;;55,4;50;49;70,9;76,8;70;62,7;84,7;30,2;30;30;0,016;1956;#REF!;1;0,23;0,13
Banque de l'Habitat/2006;38;2006;Banque de l'Habitat;249;1;CB;0;0,923;0,923;0,475;1783,287;202,926;0,071;39,443;2183,58;;30,428;2183,58;20,06;70,171;;;29,601;67,617;65,513;35,912;0,009;0,131;2856,37;7,957;5382,4;2618,508;2249,394;76,708;65,513;67,617;434,928;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,431;24,943;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,014;1956;#REF!;1;0,23;0,13
Banque de l'Habitat/2007;38;2007;Banque de l'Habitat;249;1;CB;0;0,903;0,903;0,463;1928,813;272,757;0,087;49,167;2388,949;;32,309;2388,949;31,841;90,139;;;35,509;72,111;75,077;39,567;0,014;0,18;3126,994;8,048;5426,6;2823,8;2313,56;87,954;75,077;72,111;434,851;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,431;31,683;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,014;1956;#REF!;1;0,23;0,15
Banque de l'Habitat/2008;38;2008;Banque de l'Habitat;249;1;CB;0;0,957;0,957;0,436;2169,393;324,638;0,09;57,867;2796,188;;46,586;2796,188;30,922;110,702;;;38,064;77,67;82,052;43,988;0,014;0,155;3609,406;8,191;6270,6;3192,49;2690,6;99,502;82,052;77,67;396,302;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,431;32,348;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;0,017;1956;#REF!;1;0,23;0,15
Banque de l'Habitat/2009;38;2009;Banque de l'Habitat;249;1;CB;0;0,826;0,824;0,475;2438,17;332,969;0,085;123,901;2672,641;;43,547;2672,641;27,18;98,054;;;41,547;85,094;86,945;45,398;0,011;0,13;3932,68;8,277;7369,5;3292,292;2948,362;86,575;86,945;85,094;619,652;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;29,979;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;0,016;1956;#REF!;1;0,28;0,15
Banque de l'Habitat/2010;38;2010;Banque de l'Habitat;249;1;CB;0;0,857;0,855;0,534;2400,587;348,4;0,092;108,076;2793,279;;53,514;2793,279;25,919;93,615;;;52,536;90,96;98,645;46,109;0,008;0,086;3808,509;8,245;7296,2;3236,552;2982,115;85,371;98,645;90,96;443,272;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;30,922;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;0,019;1956;#REF!;1;0,28;0,15
Banque de Tunisie/2006;38;2006;Banque de Tunisie;250;1;CB;0;0,874;0,872;0,286;776,469;548,074;0,34;37,79;1130,182;;19,985;1130,182;14,35;58,677;;;12,321;35,612;26,972;14,65;0,026;0,076;1612,366;7,385;2525,8;1508,987;929,96;30,127;26,972;35,612;378,806;1,33;1;0,057;3394,31;8,13;0,046;0,555;0,045;0,034;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,25;0,43;0,31;0,23;0,46;0,32;0,28;0,4;0,431;70,224;0,07;0,38;French;0;1;6,36;3;;57,5;50;50;73,3;77,8;80,3;61,7;83,5;38,6;30;30;0,018;1956;#REF!;1;0,23;0,13
Banque de Tunisie/2007;38;2007;Banque de Tunisie;250;1;CB;0;0,902;0,901;0,269;954,222;606,622;0,321;40,192;1314,152;;0,858;1314,152;16,311;69,848;;;11,316;37,616;28,876;17,559;0,036;0,11;1887,762;7,543;2860,9;1732,458;1095,088;35,509;28,876;37,616;418,306;1,28;1;0,063;3807,68;8,245;0,052;0,55;0,034;0,026;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,34;0,26;0,4;0,31;0,24;0,46;0,33;0,29;0,38;0,431;68,722;0,07;0,38;French;0;1;6,35;3;;60,3;50;49;73,3;78,5;78,9;61;80,1;71,8;30;30;0,001;1956;#REF!;1;0,23;0,15
Banque de Tunisie/2008;38;2008;Banque de Tunisie;250;1;CB;0;0,805;0,8;0,256;1216,094;700,731;0,311;42,609;1424,917;;11,606;1424,917;20,615;77,751;;;14,122;48,209;32,301;18,18;0,035;0,112;2254,449;7,721;3213,4;1953,996;1342,622;46,423;32,301;48,209;529,079;1,23;1;0,045;4345,07;8,377;0,035;0,559;0,049;0,061;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,32;0,27;0,41;0,29;0,24;0,46;0,33;0,3;0,37;0,431;66,467;0,07;0,38;French;0;1;6,28;3;;60,1;50;46;76,4;77,1;80,1;62,3;77,6;71,8;30;30;0,008;1956;#REF!;1;0,23;0,15
Banque de Tunisie/2009;38;2009;Banque de Tunisie;250;1;CB;0;0,969;0,969;0,248;1219,011;776,212;0,336;37,029;1590,935;;9,035;1590,935;18,144;71,985;;;12,886;50,582;30,438;17,552;0,034;0,104;2307,382;7,744;3721,9;2135,713;1315,214;39,325;30,438;50,582;544,778;1,35;1;0,031;4168,94;8,335;0,02;0,589;0,035;0,031;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;71,081;0,07;0,38;French;0;1;6,26;3;;58;50;42;76,5;78,3;81,6;60,1;78,4;53;30;30;0,006;1956;#REF!;1;0,28;0,15
Banque de Tunisie/2010;38;2010;Banque de Tunisie;250;1;CB;0;1;1;0,245;1550,51;730,334;0,285;36,538;1845,745;;28,504;1845,745;19,911;74,473;;;12,435;51,418;30,879;18,443;0,026;0,084;2560,78;7,848;4651,4;2468,353;1623,725;40,45;30,879;51,418;622,607;1,43;1;0,03;4193,55;8,341;0,019;0,63;0,044;0,046;5,125;7,222;9,168;5;7;5,625;3,125;0;3,75;5,113;5,167;7,143;9,465;4,167;6,111;7,083;4,167;0;2,857;5,129;0,33;0,29;0,39;0,32;0,24;0,44;0,33;0,3;0,36;0,431;59,755;0,07;0,38;French;0;1;6,22;3;;58,9;50;44;74,4;78,5;80,2;67,4;76,5;53,5;35;30;0,015;1956;#REF!;1;0,28;0,15
